;Format of textures:
;TextureName	Width	Height
*	BLITA0      	0	24
*	BLITC0      	8	24
*	BLITA0      	0	32
*	BLITC0      	8	32
*	BLITA0      	0	40
*	BLITC0      	8	40
*	BLITA0      	0	48
*	BLITC0      	8	48
*	BLITA0      	0	56
*	BLITC0      	8	56
*	BLITA0      	0	64
*	BLITC0      	8	64
*	BLITA0      	0	72
*	BLITC0      	8	72
*	BLITA0      	0	80
*	BLITC0      	8	80
*	BLITA0      	0	88
*	BLITC0      	8	88
*	BLITA0      	0	96
*	BLITC0      	8	96
*	BLITA0      	0	104
*	BLITC0      	8	104
*	BLITA0      	0	112
*	BLITC0      	8	112
*	BLITA0      	0	120
*	BLITC0      	8	120
METAL1      		64	128
*	WALL03_7    	0	0
*	WALL03_7    	0	64
NUKE24      		64	24
*	NUKEDGE     	0	0
NUKEDGE1    		128	128
*	WALL04_3    	0	0
*	WALL04_4    	16	0
*	WALL04_5    	32	0
*	WALL04_2    	48	0
*	WALL04_2    	64	0
*	WALL04_5    	96	32
*	WALL04_3    	80	0
*	WALL04_5    	112	0
*	WALL04_7    	96	0
*	NUKEDGE     	0	104
*	NUKEDGE     	64	104
*	WALL04_5    	112	32
*	WALL04_3    	0	33
*	WALL04_4    	16	33
*	WALL04_5    	32	33
*	WALL04_2    	48	33
*	WALL04_2    	64	33
*	WALL04_3    	80	33
NUKESLAD    		64	128
*	WALL57_1    	0	0
PIPE2       		256	128
*	TP2_1       	0	0
*	TP2_2       	128	0
PLANET1     		256	128
*	AG128_1     	0	0
*	TSCRN2      	4	69
*	AG128_1     	64	0
*	TSCRN3      	68	69
*	AG128_1     	128	0
*	TSCRN4      	132	69
*	TSCRN5      	68	7
*	TSCRN6      	4	7
*	TSCRN8      	132	7
*	AG128_1     	192	0
PLAT1       		128	128
*	PLAT2_1     	0	0
REDWALL1    		128	128
*	W15_4       	0	56
*	W15_5       	64	56
*	W15_4       	0	0
*	W15_5       	64	0
SHAWN2      		64	128
*	AG128_1     	0	0
SKY1        		256	128
*	SKY1        	0	-8
SLADPOIS    		64	128
*	WLA128_1    	0	0
*	PS20A0      	1	49
SLADRIP1    		64	128
*	WALL57_2    	0	0
SLADRIP2    		64	128
*	WALL57_3    	0	0
SLADRIP3    		64	128
*	WALL57_4    	0	0
SLADWALL    		64	128
*	WLA128_1    	0	0
STARG1      		64	128
*	SW12_1      	0	0
*	SW12_2      	32	0
STARG3      		128	128
*	SW19_3      	64	0
*	SW19_4      	0	0
STARGR1     		64	128
*	SW11_1      	0	0
*	SW11_2      	32	0
STARTAN1    		64	128
*	SW12_4      	0	0
*	SW12_5      	32	0
STARTAN2    		128	128
*	SW17_4      	0	0
*	SW17_5      	32	0
*	SW17_6      	64	0
*	SW18_7      	96	0
STARTAN3    		128	128
*	SW19_1      	64	0
*	SW19_2      	0	0
STEP1       		32	8
*	STEP04      	0	0
STEP2       		32	8
*	STEP03      	0	0
STEP3       		32	8
*	STEP05      	0	0
STEP4       		32	16
*	STEP06      	0	0
*	STEP06      	0	8
STEP5       		32	16
*	STEP09      	0	0
*	STEP09      	0	8
STEP6       		32	16
*	STEP10      	0	8
*	STEP07      	0	0
STONE       		256	128
*	WALL01_1    	0	0
*	WALL01_2    	16	0
*	WALL01_3    	32	0
*	WALL01_4    	48	0
*	WALL01_5    	64	0
*	WALL01_6    	80	0
*	WALL01_7    	96	0
*	WALL01_8    	112	0
*	WALL01_9    	128	0
*	WALL01_A    	144	0
*	WALL01_B    	160	0
*	WALL01_C    	176	0
*	WALL01_3    	192	0
*	WALL01_1    	208	0
*	WALL01_6    	224	0
*	WALL01_A    	240	0
*	WALL01_1    	0	72
*	WALL01_2    	16	72
*	WALL01_3    	32	72
*	WALL01_4    	48	72
*	WALL01_5    	64	72
*	WALL01_6    	80	72
*	WALL01_7    	96	72
*	WALL01_8    	112	72
*	WALL01_9    	128	72
*	WALL01_A    	144	72
*	WALL01_B    	160	72
*	WALL01_C    	176	72
*	WALL01_3    	192	72
*	WALL01_1    	208	72
*	WALL01_6    	224	72
*	WALL01_A    	240	72
*	W33_8       	0	64
*	W33_8       	64	64
*	W33_8       	128	64
*	W33_8       	192	64
*	W33_8       	0	120
*	W33_8       	64	120
*	W33_8       	128	120
*	W33_8       	192	120
STONE2      		128	128
*	W28_8       	0	64
*	W28_8       	64	0
*	W28_5       	0	0
*	W28_5       	64	64
STONE3      		128	128
*	W28_7       	0	0
*	W28_6       	0	64
*	W28_7       	64	64
*	W28_6       	64	0
STONPOIS    		64	128
*	WALL01_1    	0	0
*	WALL01_2    	16	0
*	WALL01_3    	32	0
*	WALL01_4    	48	0
*	WALL01_1    	0	72
*	WALL01_2    	16	72
*	WALL01_3    	32	72
*	WALL01_4    	48	72
*	W33_8       	0	64
*	W33_8       	0	120
*	PS20A0      	1	43
SUPPORT2    		64	128
*	SUPPORT2    	19	72
*	SUPPORT2    	19	0
*	SUPPORT2    	0	0
*	SUPPORT2    	0	72
*	SUPPORT2    	40	0
*	SUPPORT2    	40	72
SW1BRCOM    		128	128
*	WALL62_1    	0	0
*	SW1S0       	48	72
SW1BRN1     		64	128
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	SW3S0       	16	75
SW1BRN2     		64	128
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	SW4S0       	20	79
SW1BRNGN    		64	128
*	WALL62_2    	0	0
*	SW4S0       	20	80
SW1BROWN    		128	128
*	WALL62_1    	0	0
*	SW3S1       	48	72
SW1COMM     		64	72
*	W13_1       	0	0
*	SW1S0       	15	18
SW1COMP     		64	128
*	COMP03_4    	0	64
*	COMP04_5    	0	0
*	COMP03_4    	32	64
*	SW2S0       	16	72
SW1DIRT     		64	128
*	WALL00_7    	32	0
*	WALL00_6    	16	0
*	SW1S0       	16	20
*	WALL00_6    	0	-16
*	WALL00_7    	48	0
SW1EXIT     		32	72
*	W32_4       	0	0
*	SW2S0       	0	16
*	W33_8       	0	64
SW1GRAY     		64	128
*	W31_1       	0	0
*	W31_1       	0	64
*	SW2S0       	16	70
SW1GRAY1    		64	128
*	W31_1       	0	64
*	W31_1       	0	0
*	SW4S0       	19	79
SW1METAL    		64	128
*	WALL03_7    	0	0
*	WALL03_7    	0	64
*	SW4S0       	20	68
SW1PIPE     		128	128
*	TP2_2       	0	0
*	SW3S0       	48	76
SW1SLAD     		64	128
*	WLA128_1    	0	0
*	WARNB0      	24	73
SW1STARG    		128	128
*	SW19_3      	64	0
*	SW19_4      	0	0
*	SW3S0       	48	76
SW1STON1    		64	128
*	W28_8       	0	64
*	W28_8       	0	0
*	SW1S0       	16	78
SW1STON2    		64	128
*	W28_5       	0	0
*	W28_8       	0	64
*	WARNB0      	24	73
SW1STONE    		64	128
*	WALL01_1    	0	0
*	WALL01_2    	16	0
*	WALL01_3    	32	0
*	WALL01_4    	48	0
*	WALL01_1    	0	72
*	WALL01_2    	16	72
*	WALL01_3    	32	72
*	WALL01_4    	48	72
*	W33_8       	0	64
*	W33_8       	0	120
*	SW1S0       	16	72
SW1STRTN    		64	128
*	SW12_4      	0	0
*	SW12_5      	32	0
*	SW1S0       	16	72
SW2BRCOM    		128	128
*	WALL62_1    	0	0
*	SW1S1       	48	72
SW2BRN1     		64	128
*	STEP07      	32	72
*	STEP07      	0	72
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	SW3S1       	16	75
SW2BRN2     		64	128
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	SW4S1       	20	79
SW2BRNGN    		64	128
*	WALL62_2    	0	0
*	SW4S1       	20	80
SW2BROWN    		128	128
*	WALL62_1    	0	0
*	SW3S0       	48	72
SW2COMM     		64	72
*	W13_1       	0	0
*	SW1S1       	15	18
SW2COMP     		64	128
*	COMP03_4    	0	64
*	COMP04_5    	0	0
*	COMP03_4    	32	64
*	SW2S1       	16	72
SW2DIRT     		64	128
*	WALL00_8    	48	0
*	WALL00_7    	32	0
*	WALL00_6    	16	0
*	WALL00_5    	0	-1
*	SW1S1       	16	20
SW2EXIT     		32	72
*	W32_4       	0	0
*	SW2S1       	0	16
*	W33_8       	0	64
SW2GRAY     		64	128
*	W31_1       	0	0
*	W31_1       	0	64
*	SW2S1       	16	70
SW2GRAY1    		64	128
*	W31_1       	0	64
*	W31_1       	0	0
*	SW4S1       	19	79
SW2METAL    		64	128
*	WALL03_7    	0	0
*	WALL03_7    	0	64
*	SW4S1       	20	68
SW2PIPE     		128	128
*	TP2_2       	0	0
*	SW3S1       	48	76
SW2SLAD     		64	128
*	WLA128_1    	0	0
*	WARNA0      	24	73
SW2STARG    		128	128
*	SW19_3      	64	0
*	SW19_4      	0	0
*	SW3S1       	48	76
SW2STON1    		64	128
*	W28_8       	0	64
*	W28_8       	0	0
*	SW1S1       	16	78
SW2STON2    		64	128
*	W28_8       	0	64
*	WARNA0      	24	73
*	W28_5       	0	0
SW2STONE    		64	128
*	WALL01_1    	0	0
*	WALL01_2    	16	0
*	WALL01_3    	32	0
*	WALL01_4    	48	0
*	WALL01_1    	0	72
*	WALL01_2    	16	72
*	WALL01_3    	32	72
*	WALL01_4    	48	72
*	W33_8       	0	64
*	W33_8       	0	120
*	SW1S1       	16	72
SW2STRTN    		64	128
*	SW12_4      	0	0
*	SW12_5      	32	0
*	SW1S1       	16	72
TEKWALL1    		128	128
*	W17_1       	0	-27
*	W17_1       	0	16
TEKWALL2    		128	128
*	WALL24_1    	0	0
TEKWALL3    		128	112
*	W17_1       	-104	0
TEKWALL4    		128	128
*	W94_1       	0	0
TEKWALL5    		128	128
*	WALL24_1    	-120	-8
;End
;
; extra textures
;
; these textures are in the freedoom shareware wad, but not in the 
; original shareware wad

AASHITTY    		64	64
*	BODIES      	0	0
ASHWALL     		64	128
*	W104_1      	0	0
ASHWALL2    		64	128
*	RW22_1      	0	0
METAL2      		64	128
*	RW33_1      	0	0
; fraggle 23/7/2002: static sfall texture
SFALL      		64	128
*	SFALL1      	0	0
SFALL1      		64	128
*	SFALL1      	0	0
SFALL2      		64	128
*	SFALL2      	0	0
SFALL3      		64	128
*	SFALL3      	0	0
SFALL4      		64	128
*	SFALL4      	0	0
SW1TEK      		64	128
*	RW37_2      	0	0
*	SW4S0       	20	79
SW2TEK      		64	128
*	RW37_2      	0	0
*	SW4S1       	20	79
CRATE1                  64      128
*       BCRATEL1        0       0
*       BCRATER1        32      0
*       BCRATEL1        0       64
*       BCRATER1        32      64
CRATE2                  64      128
*       GCRATEL1        0       0
*       GCRATER1        32      0
*       GCRATEL1        0       64
*       GCRATER1        32      64
CRATE3                  64      128
*       GCRATEL1        0       0
*       GCRATER1        32      0
*       BCRATEL1        0       64
*       BCRATER1        32      64
CRATELIT                64      128
*       SGCRATE2        0       0
*       SGCRATE2        32      0
*       BCRATEL1        0       64
*       BCRATER1        32      64
CRATINY                 64      16
*       VGCRATE1        0       0
*       VGCRATE1        16      0
*       VGCRATE1        32      0
*       VGCRATE1        48      0
CRATWIDE                128     128
*       BCRATEL1        0       64
*       BCRATEM1        40      64
*       BCRATEM1        32      64
*       BCRATEM1        48      64
*       BCRATEM1        56      64
*       BCRATER1        96      64
*       BCRATEM1        88      64
*       BCRATEM1        80      64
*       BCRATEM1        72      64
*       BCRATEM1        64      64
*       GCRATEL1        0       0
*       GCRATER1        96      0
*       GCRATEM1        48      0
*       GCRATEM1        40      0
*       GCRATEM1        32      0
*       GCRATEM1        72      0
*       GCRATEM1        64      0
*       GCRATEM1        56      0
*       GCRATEM1        80      0
*       GCRATEM1        88      0

