;
; Texture definition file for all Doom II textures
;
;Format of textures:
;TextureName	Width	Height
*	GCRATEL1    	0	0
*	GCRATER1    	32	0
*	BCRATEL1    	0	64
*	BCRATER1    	32	64
CRATELIT    		64	128
*	SGCRATE2    	0	0
*	SGCRATE2    	32	0
*	BCRATEL1    	0	64
*	BCRATER1    	32	64
CRATINY     		64	16
*	VGCRATE1    	0	0
*	VGCRATE1    	16	0
*	VGCRATE1    	32	0
*	VGCRATE1    	48	0
CRATWIDE    		128	128
*	BCRATEL1    	0	64
*	BCRATEM1    	40	64
*	BCRATEM1    	32	64
*	BCRATEM1    	48	64
*	BCRATEM1    	56	64
*	BCRATER1    	96	64
*	BCRATEM1    	88	64
*	BCRATEM1    	80	64
*	BCRATEM1    	72	64
*	BCRATEM1    	64	64
*	GCRATEL1    	0	0
*	GCRATER1    	96	0
*	GCRATEM1    	48	0
*	GCRATEM1    	40	0
*	GCRATEM1    	32	0
*	GCRATEM1    	72	0
*	GCRATEM1    	64	0
*	GCRATEM1    	56	0
*	GCRATEM1    	80	0
*	GCRATEM1    	88	0
DBRAIN1     		64	32
*	RWDM11A     	0	0
DBRAIN2     		64	32
*	RWDM11B     	0	0
DBRAIN3     		64	32
*	RWDM11C     	0	0
DBRAIN4     		64	32
*	RWDM11D     	0	0
DOOR1       		64	72
*	WALL03_1    	0	0
DOOR3       		64	72
*	DOOR2_5     	0	0
DOORBLU     		8	128
*	W46_37      	0	112
*	W46_37      	0	0
*	W46_37      	0	96
*	W46_37      	0	80
*	W46_37      	0	16
*	W46_37      	0	32
*	W46_37      	0	48
*	W46_37      	0	64
DOORBLU2    		16	128
*	W108_2      	0	0
*	W108_2      	0	24
*	W108_2      	0	48
*	W108_2      	0	72
*	W108_2      	0	96
*	STEP07      	0	120
DOORRED     		8	128
*	W46_38      	0	0
*	W46_38      	0	16
*	W46_38      	0	32
*	W46_38      	0	48
*	W46_38      	0	64
*	W46_38      	0	80
*	W46_38      	0	96
*	W46_38      	0	112
DOORRED2    		16	128
*	W108_3      	0	0
*	W108_3      	0	24
*	W108_3      	0	48
*	W108_3      	0	72
*	W108_3      	0	96
*	STEP07      	0	120
DOORSTOP    		8	128
*	TTALL1_2    	0	0
DOORTRAK    		8	128
*	DOORTRAK    	0	0
DOORYEL     		8	128
*	W46_39      	0	112
*	W46_39      	0	80
*	W46_39      	0	64
*	W46_39      	0	0
*	W46_39      	0	16
*	W46_39      	0	48
*	W46_39      	0	32
*	W46_39      	0	96
DOORYEL2    		16	128
*	W108_4      	0	0
*	W108_4      	0	24
*	W108_4      	0	48
*	W108_4      	0	72
*	W108_4      	0	96
*	STEP07      	0	120
EXITDOOR    		128	72
*	DOOR3_6     	0	0
*	DOOR3_4     	64	0
*	DOOR3_5     	88	0
*	T14_5       	112	0
EXITSIGN    		64	16
*	EXIT1       	0	0
*	EXIT2       	32	0
*	EXIT2       	40	0
*	EXIT2       	48	0
*	EXIT2       	56	0
EXITSTON    		64	128
*	W28_8       	0	64
*	W28_8       	0	0
*	EXIT1       	17	22
FIREBLU1    		128	128
*	W65B_1      	0	0
FIREBLU2    		128	128
*	W65B_2      	0	0
FIRELAV2    		128	128
*	W73A_2      	0	0
FIRELAV3    		128	128
*	W73B_1      	0	0
FIRELAVA    		128	128
*	W73A_1      	0	0
FIREMAG1    		128	128
*	W74A_1      	0	0
FIREMAG2    		128	128
*	W74A_2      	0	0
FIREMAG3    		128	128
*	W74B_1      	0	0
FIREWALA    		128	112
*	WALL23_1    	0	0
FIREWALB    		128	112
*	WALL23_2    	0	0
FIREWALL    		128	112
*	WALL22_1    	0	0
GRAY1       		64	128
*	W31_1       	0	64
*	W31_1       	0	0
GRAY2       		64	72
*	W33_7       	0	-8
*	W31_1       	0	56
*	DUCT1       	20	16
GRAY4       		64	128
*	W33_5       	0	0
*	W33_5       	0	64
GRAY5       		64	128
*	W33_7       	0	72
*	W33_7       	0	0
*	W33_8       	0	64
GRAY7       		256	128
*	W32_4       	0	0
*	W32_1       	64	0
*	W32_4       	128	0
*	W33_8       	0	120
*	W33_8       	64	120
*	W33_8       	128	120
*	W32_4       	192	0
*	W33_8       	192	120
*	W32_4       	64	56
*	W32_1       	128	56
*	W32_4       	192	56
*	W32_4       	0	56
GRAYBIG     		128	128
*	WALL00_1    	0	0
*	WALL00_1    	64	0
*	WALL00_2    	83	0
GRAYPOIS    		64	72
*	WALL04_9    	0	0
*	WALL04_A    	16	0
*	WALL04_B    	32	0
*	WALL04_C    	48	0
*	PS18A0      	1	19
GRAYTALL    		128	128
*	WALL00_1    	16	0
*	WALL00_3    	80	0
*	WALL00_2    	0	0
*	WALL00_1    	96	0
GRAYVINE    		256	128
*	WALL00_1    	0	0
*	WALL00_1    	64	0
*	WALL00_1    	128	-16
*	WALL00_1    	192	-16
*	W106_1      	0	0
GSTFONT1    		64	128
*	WALL58_1    	0	0
GSTFONT2    		64	128
*	WALL58_2    	0	0
GSTFONT3    		64	128
*	WALL58_3    	0	0
GSTGARG     		64	128
*	WALL30_2    	0	0
GSTLION     		64	128
*	WALL30_4    	0	0
GSTONE1     		256	128
*	WALL48_1    	0	0
*	WALL48_2    	64	0
*	WALL48_3    	128	0
*	WALL48_4    	192	0
GSTONE2     		256	128
*	WALL59_1    	0	0
*	WALL59_2    	64	0
*	WALL59_3    	128	0
*	WALL59_4    	192	0
GSTSATYR    		64	128
*	WALL30_3    	0	0
GSTVINE1    		256	128
*	WALL48_1    	0	0
*	WALL48_2    	64	0
*	WALL48_3    	128	0
*	WALL48_4    	192	0
*	W106_1      	0	0
GSTVINE2    		256	128
*	WALL48_1    	0	0
*	WALL48_2    	64	0
*	WALL48_3    	128	0
*	WALL48_4    	192	0
*	W107_1      	0	0
ICKWALL1    		64	128
*	WALL69_4    	0	0
*	W32_4       	0	64
ICKWALL2    		64	128
*	WALL71_5    	0	0
*	W33_5       	0	64
ICKWALL3    		64	128
*	WALL72_7    	0	0
*	WALL69_9    	0	64
*	W67_2       	32	64
ICKWALL4    		64	128
*	WALL72_5    	0	0
*	WALL72_3    	0	64
ICKWALL5    		64	128
*	WALL70_4    	0	0
*	W32_4       	0	64
ICKWALL7    		64	128
*	W67_1       	0	0
*	W67_2       	63	64
*	WALL70_9    	28	64
*	W67_2       	-1	64
LITE3       		32	128
*	WLITA0      	0	0
*	WLITB0      	8	0
*	WLITB0      	16	0
*	WLITC0      	24	0
*	WLITA0      	0	8
*	WLITB0      	8	8
*	WLITB0      	16	8
*	WLITC0      	24	8
*	WLITA0      	0	16
*	WLITB0      	8	16
*	WLITB0      	16	16
*	WLITC0      	24	16
*	WLITA0      	0	24
*	WLITB0      	8	24
*	WLITB0      	16	24
*	WLITC0      	24	24
*	WLITA0      	0	32
*	WLITB0      	8	32
*	WLITB0      	16	32
*	WLITC0      	24	32
*	WLITA0      	0	40
*	WLITB0      	8	40
*	WLITB0      	16	40
*	WLITC0      	24	40
*	WLITA0      	0	48
*	WLITB0      	8	48
*	WLITB0      	16	48
*	WLITC0      	24	48
*	WLITA0      	0	56
*	WLITB0      	8	56
*	WLITB0      	16	56
*	WLITC0      	24	56
*	WLITA0      	0	64
*	WLITB0      	8	64
*	WLITB0      	16	64
*	WLITC0      	24	64
*	WLITA0      	0	72
*	WLITB0      	8	72
*	WLITB0      	16	72
*	WLITC0      	24	72
*	WLITA0      	0	80
*	WLITB0      	8	80
*	WLITB0      	16	80
*	WLITC0      	24	80
*	WLITA0      	0	88
*	WLITB0      	8	88
*	WLITB0      	16	88
*	WLITC0      	24	88
*	WLITA0      	0	96
*	WLITB0      	8	96
*	WLITB0      	16	96
*	WLITC0      	24	96
*	WLITA0      	0	104
*	WLITB0      	8	104
*	WLITB0      	16	104
*	WLITC0      	24	104
*	WLITA0      	0	112
*	WLITB0      	8	112
*	WLITB0      	16	112
*	WLITC0      	24	112
*	WLITA0      	0	120
*	WLITB0      	8	120
*	WLITB0      	16	120
*	WLITC0      	24	120
LITE5       		16	128
*	WLITA0      	0	0
*	WLITC0      	8	0
*	WLITA0      	0	8
*	WLITC0      	8	8
*	WLITA0      	0	16
*	WLITC0      	8	16
*	WLITA0      	0	24
*	WLITC0      	8	24
*	WLITA0      	0	32
*	WLITC0      	8	32
*	WLITA0      	0	40
*	WLITC0      	8	40
*	WLITA0      	0	48
*	WLITC0      	8	48
*	WLITA0      	0	56
*	WLITC0      	8	56
*	WLITA0      	0	64
*	WLITC0      	8	64
*	WLITA0      	0	72
*	WLITC0      	8	72
*	WLITA0      	0	80
*	WLITC0      	8	80
*	WLITA0      	0	88
*	WLITC0      	8	88
*	WLITA0      	0	96
*	WLITC0      	8	96
*	WLITA0      	0	104
*	WLITC0      	8	104
*	WLITA0      	0	112
*	WLITC0      	8	112
*	WLITA0      	0	120
*	WLITC0      	8	120
LITEBLU1    		8	128
*	AGB128_1    	0	0
LITEBLU4    		16	128
*	BLITA0      	0	0
*	BLITB0      	8	0
*	BLITC0      	8	0
*	BLITA0      	0	8
*	BLITC0      	8	8
*	BLITA0      	0	16
*	BLITC0      	8	16
*	BLITA0      	0	24
*	BLITC0      	8	24
*	BLITA0      	0	32
*	BLITC0      	8	32
*	BLITA0      	0	40
*	BLITC0      	8	40
*	BLITA0      	0	48
*	BLITC0      	8	48
*	BLITA0      	0	56
*	BLITC0      	8	56
*	BLITA0      	0	64
*	BLITC0      	8	64
*	BLITA0      	0	72
*	BLITC0      	8	72
*	BLITA0      	0	80
*	BLITC0      	8	80
*	BLITA0      	0	88
*	BLITC0      	8	88
*	BLITA0      	0	96
*	BLITC0      	8	96
*	BLITA0      	0	104
*	BLITC0      	8	104
*	BLITA0      	0	112
*	BLITC0      	8	112
*	BLITA0      	0	120
*	BLITC0      	8	120
MARBFAC2    		128	128
*	MWALL4_2    	0	0
MARBFAC3    		128	128
*	MWALL5_1    	0	0
MARBFAC4    		64	128
*	RW7_3       	0	0
MARBFACE    		128	128
*	MWALL4_1    	0	0
MARBGRAY    		64	128
*	RW7_2       	0	0
MARBLE1     		128	128
*	MWALL1_1    	0	0
MARBLE2     		128	128
*	MWALL2_1    	0	0
MARBLE3     		128	128
*	MWALL3_1    	0	0
MARBLOD1    		128	128
*	MWALL1_2    	0	0
METAL       		64	128
*	WALL47_1    	0	0
METAL1      		64	128
*	WALL03_7    	0	0
*	WALL03_7    	0	64
METAL2      		64	128
*	RW33_1      	0	0
METAL3      		64	128
*	RW33_2      	0	0
METAL4      		64	128
*	RW33_3      	0	0
METAL5      		64	128
*	RW33_4      	0	0
METAL6      		64	128
*	RW38_1      	0	0
METAL7      		64	128
*	RW38_2      	0	0
MIDBARS1    		64	128
*	RW43_1      	0	0
MIDBARS3    		64	72
*	RW45_1      	0	0
MIDBRN1     		64	112
*	DOOR12_1    	0	0
MIDBRONZ    		64	128
*	RW10_4      	0	0
MIDGRATE    		128	128
*	M1_1        	0	0
MIDSPACE    		64	128
*	RW47_1      	0	0
MODWALL1    		64	128
*	RW31_1      	0	0
MODWALL2    		64	128
*	RW31_2      	0	0
MODWALL3    		64	128
*	RW31_3      	0	0
MODWALL4    		64	128
*	RW31_4      	0	0
NUKE24      		64	24
*	NUKEDGE     	0	0
NUKEDGE1    		128	128
*	WALL04_3    	0	0
*	WALL04_4    	16	0
*	WALL04_5    	32	0
*	WALL04_2    	48	0
*	WALL04_2    	64	0
*	WALL04_5    	96	32
*	WALL04_3    	80	0
*	WALL04_5    	112	0
*	WALL04_7    	96	0
*	NUKEDGE     	0	104
*	NUKEDGE     	64	104
*	WALL04_5    	112	32
*	WALL04_3    	0	33
*	WALL04_4    	16	33
*	WALL04_5    	32	33
*	WALL04_2    	48	33
*	WALL04_2    	64	33
*	WALL04_3    	80	33
NUKEPOIS    		128	128
*	WALL04_3    	0	0
*	WALL04_4    	16	0
*	WALL04_5    	32	0
*	WALL04_2    	48	0
*	NUKEDGE     	0	104
*	WALL04_3    	0	33
*	WALL04_4    	16	33
*	WALL04_5    	32	33
*	WALL04_2    	48	33
*	PS20A0      	0	69
*	WALL04_2    	64	0
*	WALL04_3    	80	0
*	WALL04_4    	112	0
*	WALL04_7    	96	0
*	WALL04_2    	112	72
*	WALL04_3    	96	72
*	WALL04_4    	80	72
*	WALL04_5    	64	64
*	NUKEDGE     	64	105
PANBLACK    		64	128
*	RW16_1      	0	0
PANBLUE     		64	128
*	RW16_3      	0	0
PANBOOK     		64	128
*	RW21_5      	0	0
PANBORD1    		32	128
*	RW21_1      	0	0
PANBORD2    		16	128
*	RW21_2      	0	0
PANCASE1    		64	128
*	RW21_3      	0	0
PANCASE2    		64	128
*	RW21_4      	0	0
PANEL1      		64	128
*	RW15_1      	0	0
PANEL2      		64	128
*	RW15_2      	0	0
PANEL3      		64	128
*	RW15_3      	0	0
PANEL4      		64	128
*	RW15_4      	0	0
PANEL5      		64	128
*	RW16_4      	0	0
PANEL6      		64	128
*	RW19_1      	0	0
PANEL7      		64	128
*	RW19_2      	0	0
PANEL8      		64	128
*	RW19_3      	0	0
PANEL9      		64	128
*	RW19_4      	0	0
PANRED      		64	128
*	RW16_2      	0	0
PIPE1       		256	128
*	RP1_1       	0	0
*	RP1_2       	128	0
PIPE2       		256	128
*	TP2_1       	0	0
*	TP2_2       	128	0
PIPE4       		256	128
*	TP7_1       	0	0
*	TP7_2       	128	0
PIPE6       		256	128
*	TP3_1       	0	0
*	TP3_2       	128	0
PIPES       		64	128
*	RW28_4      	0	0
PIPEWAL1    		64	128
*	RW28_2      	0	0
PIPEWAL2    		64	128
*	RW36_2      	0	0
PLAT1       		128	128
*	PLAT2_1     	0	0
REDWALL     		128	128
*	WALL78_1    	0	0
ROCK1       		64	128
*	RW30_1      	0	0
ROCK2       		64	128
*	RW30_2      	0	0
ROCK3       		64	128
*	RW30_3      	0	0
ROCK4       		128	128
*	RW35_1      	0	0
ROCK5       		128	128
*	RW35_2      	0	0
ROCKRED1    		128	128
*	WALL64_2    	0	0
ROCKRED2    		128	128
*	W64B_1      	0	0
ROCKRED3    		128	128
*	W64B_2      	0	0
SFALL1      		64	128
*	SFALL1      	0	0
SFALL2      		64	128
*	SFALL2      	0	0
SFALL3      		64	128
*	SFALL3      	0	0
SFALL4      		64	128
*	SFALL4      	0	0
SHAWN1      		128	128
*	W13_1       	64	56
*	W13_1       	64	0
*	W13_1       	0	56
*	CYL1_1      	0	0
SHAWN2      		64	128
*	AG128_1     	0	0
SHAWN3      		64	72
*	T14_3       	0	0
SILVER1     		64	128
*	RW32_1      	0	0
SILVER2     		64	128
*	RW32_2      	0	0
SILVER3     		64	128
*	RW32_3      	0	0
SK_LEFT     		64	128
*	RW48_1      	0	0
SK_RIGHT    		64	128
*	RW48_3      	0	0
SKIN2       		128	128
*	HELL8_2     	64	0
*	HELL8_4     	0	0
SKINCUT     		256	128
*	W102_1      	0	0
*	W102_2      	128	0
SKINEDGE    		128	128
*	HELL6_2     	0	0
*	HELL8_1     	64	0
SKINFACE    		256	128
*	HELL5_1     	0	0
*	HELL5_2     	128	0
SKINLOW     		256	104
*	W92_1       	0	0
*	W92_2       	128	0
SKINMET1    		256	128
*	W98_1       	0	0
*	W98_2       	128	0
SKINMET2    		256	128
*	W99_1       	0	0
*	W99_2       	128	0
SKINSCAB    		256	128
*	W101_1      	0	0
*	W101_2      	128	0
SKINSYMB    		256	128
*	W103_1      	0	0
*	W103_2      	128	0
SKSNAKE1    		64	128
*	SNAK7_1     	0	0
SKSNAKE2    		64	128
*	SNAK8_1     	0	0
SKSPINE1    		128	128
*	SPINE4_1    	0	0
SKSPINE2    		256	96
*	SPINE3_1    	0	0
*	SPINE3_2    	128	0
SKY1        		256	128
*	RSKY1       	0	0
SKY2        		256	128
*	RSKY2       	0	0
SKY3        		256	128
*	RSKY3       	0	0
SLADPOIS    		64	128
*	WLA128_1    	0	0
*	PS20A0      	1	49
SLADSKUL    		64	128
*	WLA128_1    	0	0
*	SW2_2       	21	65
SLADWALL    		64	128
*	WLA128_1    	0	0
SLOPPY1     		64	128
*	RW47_3      	0	0
SLOPPY2     		64	128
*	RW47_4      	0	0
SP_DUDE1    		128	128
*	WALL50_1    	0	0
SP_DUDE2    		128	128
*	WALL50_2    	0	0
SP_DUDE4    		64	128
*	WALL51_2    	0	0
SP_DUDE5    		64	128
*	WALL51_3    	0	0
SP_DUDE7    		128	128
*	BODY_1      	0	0
SP_DUDE8    		128	128
*	BODY_2      	0	0
SP_FACE1    		128	96
*	WALL25_1    	0	0
SP_FACE2    		64	128
*	BODIES      	0	0
SP_HOT1     		256	128
*	WALL49_1    	0	0
*	WALL49_2    	64	0
*	WALL49_3    	128	0
*	WALL49_4    	192	0
SP_ROCK1    		128	128
*	WALL63_1    	0	0
SPACEW2     		64	128
*	RW46_2      	0	0
SPACEW3     		64	128
*	RW46_3      	0	0
SPACEW4     		64	128
*	RW46_4      	0	0
SPCDOOR1    		64	128
*	DOOR15_1    	0	0
SPCDOOR2    		64	128
*	DOOR15_2    	0	0
SPCDOOR3    		64	128
*	DOOR15_3    	0	0
SPCDOOR4    		64	128
*	DOOR15_4    	0	0
STARBR2     		128	128
*	SW15_4      	0	0
*	SW16_4      	32	0
*	SW15_6      	64	0
*	SW16_6      	96	0
STARG1      		64	128
*	SW12_1      	0	0
*	SW12_2      	32	0
STARG2      		128	128
*	SW17_1      	0	0
*	SW17_2      	32	0
*	SW17_3      	64	0
*	SW18_5      	96	0
STARG3      		128	128
*	SW19_3      	64	0
*	SW19_4      	0	0
STARGR1     		64	128
*	SW11_1      	0	0
*	SW11_2      	32	0
STARGR2     		128	128
*	SW15_1      	0	0
*	SW15_3      	64	0
*	SW16_1      	96	0
*	SW16_2      	32	0
STARTAN2    		128	128
*	SW17_4      	0	0
*	SW17_5      	32	0
*	SW17_6      	64	0
*	SW18_7      	96	0
STARTAN3    		128	128
*	SW19_1      	64	0
*	SW19_2      	0	0
STEP1       		32	16
*	STEP05      	0	8
*	STEP05      	0	5
*	STEP04      	0	0
STEP2       		32	16
*	SW11_4      	0	-112
*	STEP03      	0	0
STEP3       		32	16
*	STEP05      	0	0
*	STEP05      	0	8
STEP4       		32	16
*	STEP06      	0	0
*	STEP06      	0	8
STEP5       		32	16
*	STEP09      	0	0
*	STEP08      	0	8
STEP6       		32	16
*	STEP10      	0	8
*	STEP07      	0	0
STEPLAD1    		64	16
*	LADDER16    	0	0
STEPTOP     		128	16
*	RIPW15      	0	0
STONE       		256	128
*	WALL01_1    	0	0
*	WALL01_2    	16	0
*	WALL01_3    	32	0
*	WALL01_4    	48	0
*	WALL01_5    	64	0
*	WALL01_6    	80	0
*	WALL01_7    	96	0
*	WALL01_8    	112	0
*	WALL01_9    	128	0
*	WALL01_A    	144	0
*	WALL01_B    	160	0
*	WALL01_C    	176	0
*	WALL01_3    	192	0
*	WALL01_1    	208	0
*	WALL01_6    	224	0
*	WALL01_A    	240	0
*	WALL01_1    	0	72
*	WALL01_2    	16	72
*	WALL01_3    	32	72
*	WALL01_4    	48	72
*	WALL01_5    	64	72
*	WALL01_6    	80	72
*	WALL01_7    	96	72
*	WALL01_8    	112	72
*	WALL01_9    	128	72
*	WALL01_A    	144	72
*	WALL01_B    	160	72
*	WALL01_C    	176	72
*	WALL01_3    	192	72
*	WALL01_1    	208	72
*	WALL01_6    	224	72
*	WALL01_A    	240	72
*	W33_8       	0	64
*	W33_8       	64	64
*	W33_8       	128	64
*	W33_8       	192	64
*	W33_8       	0	120
*	W33_8       	64	120
*	W33_8       	128	120
*	W33_8       	192	120
STONE2      		128	128
*	W28_8       	0	64
*	W28_8       	64	0
*	W28_5       	0	0
*	W28_5       	64	64
STONE3      		128	128
*	W28_7       	0	0
*	W28_6       	0	64
*	W28_7       	64	64
*	W28_6       	64	0
STONE4      		64	128
*	RW18_1      	0	0
STONE5      		64	128
*	RW18_2      	0	0
STONE6      		64	128
*	RW18_3      	0	0
STONE7      		64	128
*	RW18_4      	0	0
STUCCO      		64	128
*	RW8_1       	0	0
STUCCO1     		64	128
*	RW8_2       	0	0
STUCCO2     		64	128
*	RW8_3       	0	0
STUCCO3     		64	128
*	RW8_4       	0	0
SUPPORT2    		64	128
*	SUPPORT2    	19	72
*	SUPPORT2    	19	0
*	SUPPORT2    	0	0
*	SUPPORT2    	0	72
*	SUPPORT2    	40	0
*	SUPPORT2    	40	72
SUPPORT3    		64	128
*	WALL42_3    	20	0
*	WALL42_3    	0	0
*	WALL42_3    	40	0
SW1BLUE     		64	128
*	COMP03_1    	0	0
*	COMP03_2    	0	64
*	SW2_7       	14	66
SW1BRCOM    		128	128
*	WALL62_1    	0	0
*	SW1S0       	48	72
SW1BRIK     		64	128
*	RW23_4      	0	0
*	SW1S0       	16	72
SW1BRN1     		128	128
*	WALL62_1    	0	0
*	SW1S0       	48	72
SW1BRN2     		64	128
*	WALL02_2    	0	56
*	WALL02_2    	0	0
*	SW4S0       	20	79
SW1BRNGN    		64	128
*	WALL62_2    	0	0
*	SW4S0       	20	80
SW1BROWN    		128	128
*	WALL62_1    	0	0
*	SW3S1       	48	72
SW1CMT      		64	128
*	WALL54_1    	-42	0
*	SW3S1       	16	72
SW1COMM     		64	72
*	W13_1       	0	0
*	SW1S0       	15	18
SW1COMP     		64	128
*	COMP03_4    	0	64
*	COMP04_5    	0	0
*	COMP03_4    	32	64
*	SW2S0       	16	72
SW1DIRT     		64	128
*	WALL00_7    	32	0
*	WALL00_6    	16	0
*	SW1S0       	16	20
*	WALL00_6    	0	-16
*	WALL00_7    	48	0
SW1EXIT     		32	72
*	W32_4       	0	0
*	SW2S0       	0	16
*	W33_8       	0	64
SW1GARG     		64	128
*	WALL47_2    	0	0
*	WALL42_6    	12	62
SW1GRAY     		64	128
*	W31_1       	0	0
*	W31_1       	0	64
*	SW2S0       	16	70
SW1GRAY1    		64	128
*	W31_1       	0	64
*	W31_1       	0	0
*	SW4S0       	19	79
SW1GSTON    		64	128
*	WALL48_2    	0	0
*	SW2_7       	13	67
